Loan_ID,Gender,Dependents,Self_Employed,Applicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status
CL_344287,1,1,0,831.22,24469.23446,4,0,Reject
CL_181239,0,1,0,545.44,12423.04443,6,1,Approve
CL_95584,0,1,0,588.95,17892.76538,8,1,Approve
CL_902301,1,2,0,638.59,11802.11966,3,0,Reject
CL_806736,0,2,0,642.69,10622.78327,7,0,Approve
CL_136265,0,4,0,897.02,12368.74021,3,1,Reject
CL_529029,0,3,0,514.04,7258.318132,2,0,Reject
CL_645378,0,2,0,811.29,17473.47872,4,0,Reject
CL_724011,0,1,0,921.63,23551.61308,7,1,Approve
CL_968316,0,3,0,745.81,19327.33405,4,0,Reject
CL_660110,0,3,0,611.29,8303.693174,3,1,Approve
CL_474146,0,0,0,649.61,9904.188544,2,0,Reject
CL_871722,1,0,0,898.63,17772.46953,3,0,Reject
CL_998845,0,1,0,932.42,23825.48419,5,1,Approve
CL_419601,0,4,0,829.69,21391.89463,21,0,Reject
CL_170266,0,3,0,842.93,26116.54886,26,1,Approve
CL_479258,1,3,0,667.67,14049.85646,4,0,Reject
CL_440743,0,3,0,776.47,22352.46502,12,0,Reject
CL_225621,0,2,0,733.22,13266.03374,3,1,Approve
CL_260031,1,1,0,747.27,19276.95515,21,0,Reject
CL_866054,1,3,0,509.72,13546.10598,22,1,Approve
CL_691096,1,1,0,893,11711.16194,5,0,Reject
CL_58557,1,1,0,519.3,6895.370198,3,1,Approve
CL_568720,1,2,0,938.73,16392.24042,5,1,Approve
CL_552938,1,2,0,690.58,9872.811489,4,0,Reject
CL_672206,0,0,0,953.67,26821.18029,23,1,Approve
CL_59993,0,0,0,822.7,20136.51198,5,0,Reject
CL_446699,0,1,0,725.29,22369.46083,9,0,Approve
CL_486526,1,0,0,701.08,15685.33498,3,0,Reject
CL_76120,1,3,0,969.53,21429.76702,5,1,Approve
CL_598329,1,4,0,809.59,11354.78072,3,1,Approve
CL_881812,1,3,0,859.43,12176.55873,12,0,Reject
CL_155759,0,3,0,898.43,25305.72982,6,1,Approve
CL_413416,0,3,0,671.88,14021.43188,3,0,Reject
CL_296174,0,1,0,879.8,19099.32372,4,1,Approve
CL_11798,0,3,0,610.02,18036.73299,4,1,Approve
CL_802521,0,3,1,906.03,25501.72527,6,0,Approve
CL_323722,0,3,0,761.46,21666.10673,6,0,Reject
CL_24776,1,0,0,804.03,23654.47688,4,1,Approve
CL_316352,1,3,0,875.64,21647.63726,7,1,Approve
CL_592178,0,2,0,691.01,18621.73962,7,0,Reject
CL_920831,0,3,0,867.21,11353.09951,2,0,Reject
CL_99605,0,2,0,779.26,15872.85806,4,1,Approve
CL_339554,1,2,1,615.81,8153.071212,11,0,Reject
CL_654551,0,2,0,804.52,22490.94464,23,0,Reject
CL_123568,0,3,0,988.1,16057.97676,14,1,Approve
CL_591759,1,2,0,835.82,20908.56488,10,0,Reject
CL_937720,0,2,0,555.63,12947.33167,5,0,Reject
CL_37988,0,3,0,902.33,16715.32673,5,0,Reject
CL_953368,0,2,0,771.38,17137.94548,19,0,Reject
CL_860605,0,2,1,931.77,16840.05716,15,1,Approve
CL_608709,1,1,0,501.65,13716.89791,6,0,Reject
CL_672697,1,2,0,711.86,13497.00305,3,1,Approve
CL_86629,1,0,0,748.84,16586.7865,5,1,Approve
CL_45764,1,2,0,938.9,27145.81063,8,1,Approve
CL_351909,0,2,1,612.61,17891.98191,8,1,Approve
CL_608327,0,4,0,834.05,21695.39338,22,0,Reject
CL_991992,0,2,0,612.84,12525.51951,3,0,Reject
CL_268934,1,1,0,559.04,11656.46364,4,1,Approve
CL_800814,0,3,1,670.97,16992.71345,4,1,Approve
CL_616463,1,1,0,942.59,17044.2591,3,1,Approve
CL_566190,1,1,0,536.77,8276.717086,4,0,Reject
CL_484804,0,1,0,955.22,23018.70008,5,0,Reject
CL_319708,0,1,0,988.4,24524.04991,4,1,Approve
CL_361862,1,2,0,847.08,21501.1801,5,1,Approve
CL_695840,0,2,0,996.37,29380.80653,8,0,Reject
CL_190892,0,1,0,805.28,21258.33592,5,1,Approve
CL_173065,0,2,0,911.37,23382.07728,11,0,Reject
CL_768921,0,1,0,604.46,14352.67072,5,0,Reject
CL_449889,0,3,0,516.24,15848.52025,13,0,Reject
CL_71116,1,0,0,777.21,15988.26538,4,0,Reject
CL_599350,0,2,0,846.37,16386.90891,4,1,Approve
CL_280640,1,1,0,963.94,22639.17244,5,0,Reject
CL_295666,1,4,0,832.16,13624.92034,3,1,Approve
CL_804167,1,1,1,731.58,11477.34208,4,1,Approve
CL_108329,0,2,0,691.24,10219.75135,12,1,Approve
CL_283664,0,4,0,673.38,14269.52503,9,1,Approve
CL_110360,1,3,0,673.34,9165.058338,6,0,Reject
CL_642099,0,1,0,862.69,25890.41614,4,0,Reject
CL_758040,0,0,0,1993.88,34992.84598,2,1,Approve
CL_966047,1,3,1,1011.66,15092.62869,2,0,Reject
CL_123902,1,3,0,1685.17,38681.23357,19,1,Approve
CL_744888,0,2,0,1495.99,30529.31321,4,0,Reject
CL_830611,1,4,0,1233.25,25459.96198,4,0,Reject
CL_75994,0,0,0,1537.98,44195.28925,4,1,Approve
CL_758805,1,3,0,1286.44,33867.80921,4,1,Approve
CL_346514,1,1,0,1169.97,27633.77769,20,1,Approve
CL_943811,1,3,0,1569.31,29787.29404,16,0,Approve
CL_130901,1,4,0,1138.78,34223.91009,25,1,Approve
CL_370428,0,1,0,1292.49,39775.44339,26,0,Reject
CL_713378,0,2,0,1658.58,45783.30239,12,1,Approve
CL_145751,0,2,0,1119.03,21613.09337,5,1,Approve
CL_961201,1,3,0,1874.85,39027.00859,4,1,Approve
CL_862769,0,3,0,1828.21,51854.99974,12,0,Reject
CL_678254,1,1,0,1072.7,19902.54489,3,0,Reject
CL_197166,0,0,0,1605.74,37882.10685,7,1,Approve
CL_603618,0,4,0,1690.39,26624.48711,2,1,Approve
CL_204414,0,2,0,1040.87,29080.82823,12,0,Reject
CL_405035,0,2,1,1491.97,28900.99174,8,1,Approve
CL_617736,1,1,0,1845.28,55954.35401,4,1,Approve
CL_559587,1,3,1,1434.26,30964.71543,6,0,Reject
CL_925306,1,4,1,1625.35,24160.71034,2,0,Reject
CL_385778,0,0,0,1778.32,31378.35077,4,0,Reject
CL_611154,0,1,0,1298.37,20192.02668,2,0,Reject
CL_825921,1,3,0,1255.94,19155.86949,4,1,Approve
CL_254880,1,2,0,1616.37,46644.88315,4,1,Approve
CL_753252,1,1,0,1094.29,26496.82554,20,1,Approve
CL_306513,1,4,1,1854.05,25388.00786,6,1,Approve
CL_267259,1,3,1,1911.67,53317.24287,12,0,Reject
CL_413096,1,2,0,1303.19,29610.49158,5,0,Reject
CL_544067,0,0,0,1809.04,50668.24831,5,0,Reject
CL_442625,1,2,0,1229.34,36621.30052,6,0,Reject
CL_198479,0,3,0,1979.76,59951.68306,5,1,Approve
CL_454357,0,3,1,1149.02,28113.18511,3,0,Reject
CL_829489,0,1,0,1911.16,38418.19821,17,1,Approve
CL_516196,0,1,0,1360.12,22215.54809,3,0,Reject
CL_588347,0,4,0,1594.85,24562.29456,3,0,Reject
CL_574931,1,2,0,1054.86,16707.07856,3,0,Reject
CL_916624,0,2,1,1664.43,36490.59094,5,1,Approve
CL_229915,1,3,0,1716.53,24816.56846,12,1,Approve
CL_677157,1,1,0,1753.81,23409.97155,2,0,Reject
CL_165648,0,2,1,1788.28,34075.67783,4,0,Reject
CL_586942,1,3,0,1604.15,31650.61824,3,1,Approve
CL_486241,0,3,0,1939.52,57389.54136,12,1,Approve
CL_135277,0,0,0,1361.29,20494.7936,4,1,Approve
CL_724597,1,1,0,1968.1,60321.75841,6,1,Approve
CL_282367,1,3,0,1038.21,26491.53436,4,0,Reject
CL_447479,1,2,0,1378.36,32985.04363,10,0,Reject
CL_505291,1,0,0,1695.3,20657.29951,10,0,Reject
CL_890628,1,3,0,1781.66,47556.7556,22,1,Approve
CL_684048,0,3,1,1112.22,24652.65002,6,0,Approve
CL_265417,1,1,0,1244.13,25266.15397,17,1,Approve
CL_442416,0,1,0,1152.55,14573.87705,2,1,Approve
CL_90021,0,2,1,1465.65,34218.25421,6,1,Approve
CL_565357,0,1,0,1822.7,44873.78194,21,0,Reject
CL_433569,1,3,0,1961.06,53651.66125,5,1,Approve
CL_803458,0,4,0,1756.13,39675.21331,5,0,Reject
CL_658726,0,0,0,1606.95,37170.20168,6,0,Reject
CL_345148,1,2,0,1428.03,42958.72156,6,1,Approve
CL_770816,0,2,0,1245.62,38475.91547,26,1,Approve
CL_529315,1,4,0,1664.92,22330.71669,4,1,Approve
CL_574837,0,1,0,1548.98,33827.96391,9,1,Approve
CL_17004,1,2,0,1831,45129.52617,10,0,Reject
CL_250650,0,2,0,1770.28,46364.9359,5,1,Approve
CL_507998,0,1,0,1920.16,25665.75237,3,1,Approve
CL_323300,0,2,0,1882.8,29555.72465,2,0,Reject
CL_558429,0,4,1,1605.68,24109.70012,13,1,Approve
CL_611060,1,1,1,1232.37,19450.20917,2,1,Approve
CL_618547,1,3,0,1317.43,38936.1067,4,1,Approve
CL_427771,0,1,0,1470.57,34382.42616,4,1,Approve
CL_88275,0,4,0,1735.55,21882.33998,3,1,Approve
CL_32055,1,4,0,1373.21,36718.45275,7,0,Reject
CL_568123,0,4,0,1398.36,33964.7166,5,1,Approve
CL_438797,1,2,0,1663.63,21827.46853,11,1,Approve
CL_830664,1,0,0,1432,44079.9245,26,1,Approve
CL_637992,0,3,0,1476.32,38627.22078,5,1,Approve
CL_621627,0,4,0,1000.49,12565.93254,10,0,Reject
CL_97273,0,4,0,1332.29,26249.46626,5,1,Approve
CL_980156,0,2,0,1861.45,41574.71991,5,0,Approve
CL_911651,0,1,0,1409.37,24789.42662,4,1,Approve
CL_59016,0,2,0,1633.78,25058.80973,3,0,Reject
CL_579401,1,3,0,1008.66,22727.56194,3,1,Approve
CL_740046,0,0,0,1920.95,54497.99616,24,0,Reject
CL_247527,0,1,0,1685.65,25670.5214,6,1,Approve
CL_215315,1,2,0,1853.57,33509.71483,5,1,Approve
CL_982097,0,3,0,1751.25,21567.01045,3,0,Reject
CL_344345,1,2,0,1260.9,30126.44144,20,1,Approve
CL_996336,1,4,0,1730.72,22230.06609,3,1,Approve
CL_9654,0,2,0,1798.58,51287.66207,6,0,Reject
CL_740954,0,1,0,1750.65,23757.83043,2,0,Reject
CL_529999,1,2,0,1847.74,54722.43733,8,1,Approve
CL_686090,0,3,0,1155.24,15336.26957,2,0,Reject
CL_255540,0,2,0,1346.67,34179.7528,11,1,Approve
CL_906223,1,1,0,1105.88,13796.71081,5,0,Approve
CL_795001,0,2,0,1832.24,56040.30126,5,1,Approve
CL_866202,1,3,0,1133.34,22771.29899,17,0,Reject
CL_536548,0,3,0,1929.39,57250.69599,25,1,Approve
CL_523345,1,2,0,1066.88,32871.90749,13,1,Approve
CL_795017,1,2,0,1600.48,32750.11501,3,1,Approve
CL_11741,0,3,0,1933.4,45759.78715,7,1,Approve
CL_746685,1,3,0,1663.91,43521.49274,11,1,Approve
CL_928513,1,3,0,1759.21,52976.37552,5,0,Reject
CL_676508,1,1,1,1948.74,26009.20422,2,1,Approve
CL_113739,1,1,0,1520.96,44729.04514,5,1,Approve
CL_936757,1,3,0,1861.13,41728.29379,4,1,Approve
CL_937163,0,1,0,1257.74,30515.07868,20,1,Approve
CL_418104,0,1,0,1128.95,24715.66131,6,1,Approve
CL_793985,0,2,0,1478.54,41095.63011,23,1,Approve
CL_598075,1,2,0,1358.34,38018.76636,4,0,Reject
CL_825068,1,3,0,1648.76,50890.97771,5,0,Reject
CL_915621,0,2,0,1422.7,20900.57869,12,0,Reject
CL_147892,0,2,0,1505.92,28928.6352,4,0,Reject
CL_597416,0,2,0,1983.23,32320.26592,3,1,Approve
CL_754540,0,1,0,1706.57,29285.59858,14,0,Reject
CL_810289,1,3,0,1370.04,40265.29318,24,1,Approve
CL_117040,0,1,0,1786.14,25938.68709,4,1,Approve
CL_809547,0,4,0,1425.71,27608.63799,8,1,Approve
CL_799796,1,3,0,1073.39,22690.02307,4,1,Approve
CL_827540,0,3,0,1529.97,37681.75045,5,0,Reject
CL_150847,1,1,0,1429.76,36821.2939,5,0,Reject
CL_343672,1,4,0,1600.4,41021.06457,7,0,Reject
CL_381634,1,0,0,1334.03,25106.03526,4,0,Reject
CL_845095,1,4,0,1921.9,26311.82771,2,1,Approve
CL_378957,1,1,0,1019.24,18028.59201,15,0,Reject
CL_33293,1,3,0,1381.76,33807.26386,10,1,Approve
CL_9172,1,0,0,1211.56,16680.56209,2,0,Reject
CL_682803,0,2,0,1081.31,32261.9741,6,0,Reject
CL_619833,0,2,0,1266.99,22302.4814,4,1,Approve
CL_193194,0,3,0,1205.36,19354.83377,13,1,Approve
CL_706226,0,2,1,1869.65,45619.8007,5,1,Approve
CL_788950,0,0,0,1965.48,48674.87795,5,1,Approve
CL_125966,0,2,0,1327.76,17294.41084,11,0,Reject
CL_325216,0,3,0,1602.1,20795.93917,2,0,Reject
CL_588498,1,2,0,1964.34,49090.75651,3,1,Approve
CL_710792,1,3,1,1272.44,17315.69912,2,0,Reject
CL_472852,1,1,0,1747.88,37250.62958,4,0,Reject
CL_17042,0,3,0,1515.54,32669.00344,6,1,Approve
CL_831119,1,0,0,1283.83,35862.12298,12,1,Approve
CL_886807,1,2,0,1043.41,22242.36929,4,1,Approve
CL_833279,0,3,0,1662.23,29871.82015,4,0,Reject
CL_483436,0,2,0,1850.33,26276.82244,6,0,Reject
CL_9692,0,1,0,1448.09,39141.38663,4,1,Reject
CL_26505,0,3,1,1682.75,48756.40676,12,1,Reject
CL_241843,1,4,0,1454.32,29404.2566,17,1,Approve
CL_926518,0,2,0,1462.03,34290.66807,10,0,Reject
CL_699464,0,2,1,1619.26,46698.07886,12,1,Approve
CL_625757,1,4,0,1117.04,29674.84468,22,0,Approve
CL_949441,1,1,0,1492.37,45264.86577,4,1,Reject
CL_24532,1,2,0,1456.22,35432.22683,3,1,Approve
CL_513488,1,0,0,1896.95,34111.01709,2,0,Reject
CL_270741,1,3,0,1208.36,19682.6905,3,0,Reject
CL_156697,0,2,0,1790.94,31736.43559,2,0,Reject
CL_842920,0,2,1,1012.23,22561.13287,5,1,Approve
CL_497021,1,1,0,1650.25,46319.48627,5,1,Reject
CL_824432,1,3,0,1030.92,24637.59608,20,1,Approve
CL_2321,1,1,0,1368.26,23338.58103,14,1,Approve
CL_985548,0,2,0,1820.92,53954.80054,5,1,Approve
CL_156315,0,3,0,2932.41,60436.34074,6,1,Approve
CL_679070,1,3,0,4372.74,66532.38285,2,0,Reject
CL_216617,1,2,0,4866.76,121121.8788,7,1,Approve
CL_916030,1,2,1,2229.8,66110.68823,12,0,Reject
CL_721283,1,1,0,3110.18,89163.15873,5,0,Reject
CL_399041,1,1,0,4451.72,90821.30469,3,1,Reject
CL_940062,1,0,0,3576.91,45876.95365,3,0,Reject
CL_106774,0,3,0,2755.87,85004.0828,4,1,Approve
CL_324202,0,1,0,3683.69,67264.44039,3,1,Approve
CL_45112,1,2,0,2226.28,46701.79498,9,0,Reject
CL_260131,1,2,0,3787.68,62615.32995,14,0,Reject
CL_751246,1,2,1,2583.17,67437.92029,11,1,Approve
CL_399461,0,2,0,3294.96,65173.73575,3,1,Approve
CL_940042,0,0,0,4353.75,90905.56241,4,1,Approve
CL_655325,0,3,0,3218.65,71953.30596,4,0,Reject
CL_725706,1,1,0,4967.35,71046.87594,2,0,Reject
CL_907986,1,2,0,3835.36,96054.24986,21,1,Approve
CL_943670,1,2,0,4692.09,84883.23047,15,0,Reject
CL_942873,1,3,0,2046.5,35244.16234,14,1,Approve
CL_638942,1,1,0,3819.4,107109.3907,6,0,Reject
CL_964481,0,3,0,4475.94,106954.6081,4,0,Reject
CL_796709,0,4,0,2224.58,68467.17744,6,0,Reject
CL_886541,1,1,0,3239.12,45943.06227,2,0,Reject
CL_565942,1,2,0,3333.76,40653.57599,3,0,Reject
CL_407227,1,2,0,3820.97,110437.8193,5,0,Reject
CL_444166,1,3,0,3507.83,51838.06891,2,1,Approve
CL_699783,1,2,1,3076.3,44368.48511,3,1,Approve
CL_556855,1,3,0,3290.81,92964.42969,4,1,Approve
CL_371017,1,2,0,3859.77,72237.17607,16,1,Approve
CL_227800,0,3,0,2129.91,43341.88088,3,1,Approve
CL_989577,0,3,0,3813.71,98917.13562,11,0,Reject
CL_15080,0,3,0,3190.36,43652.90826,11,0,Reject
CL_716576,1,3,0,2152.59,57032.30121,6,1,Approve
CL_865911,1,3,0,4072.69,83259.42963,6,0,Reject
CL_291896,0,2,0,2981.15,72683.29226,3,1,Approve
CL_646882,0,0,0,2311.24,67572.92589,5,0,Reject
CL_963818,0,1,0,3701.05,73358.03316,8,1,Approve
CL_879427,0,2,0,3015.27,62867.73504,9,0,Reject
CL_240211,0,4,0,4744.97,119412.6605,3,1,Approve
CL_819594,0,2,0,4030.93,89801.07504,19,1,Approve
CL_885286,0,1,0,4357.53,120766.4273,23,1,Approve
CL_968930,1,1,0,4284.2,114248.1759,6,1,Approve
CL_748423,1,1,0,3171.61,46892.88734,2,1,Approve
CL_517938,0,1,0,3995.5,83417.79145,4,0,Reject
CL_107340,1,4,0,3489.71,104434.6412,4,0,Reject
CL_325018,1,0,0,4699.56,65201.48727,2,0,Reject
CL_216814,0,1,0,3290.78,94684.31167,6,1,Approve
CL_445502,1,2,0,3086.2,42953.80299,2,1,Approve
CL_709616,1,1,1,3576.84,56011.90034,13,0,Reject
CL_184008,0,1,0,3435.95,67678.08125,3,0,Reject
CL_468611,1,3,0,4875.32,138383.7533,6,0,Reject
CL_359414,1,0,0,2184.56,47594.54863,4,0,Reject
CL_408473,0,0,0,2196.65,32505.95606,2,1,Approve
CL_66102,1,1,0,4915.94,117499.6365,20,0,Reject
CL_430195,1,2,0,3483.28,44672.71691,2,0,Reject
CL_880255,1,1,1,2727.74,84015.92438,26,1,Approve
CL_730256,1,1,1,2723.52,68309.36176,10,0,Reject
CL_940503,1,3,1,4562.3,102005.401,6,0,Reject
CL_324405,1,4,0,3027.24,80428.59275,22,0,Reject
CL_585294,1,4,0,3722.93,62824.12695,14,1,Approve
CL_108056,1,3,0,3210.74,82597.63134,5,0,Reject
CL_552664,1,3,0,2601.67,39280.46893,3,0,Reject
CL_721621,0,2,0,2629.01,79028.88855,13,1,Approve
CL_846472,1,3,0,4246.48,78820.83067,3,0,Reject
CL_955797,1,2,0,2028.09,39598.49468,4,0,Reject
CL_886352,1,2,0,2467.66,43967.15349,15,0,Approve
CL_559809,1,2,0,4708.53,130205.1372,5,1,Approve
CL_671743,0,3,0,3230.78,74668.21601,3,1,Approve
CL_997254,0,2,0,4598.85,62621.5421,2,0,Reject
CL_577300,1,1,0,4658.79,113551.3434,20,1,Approve
CL_522240,0,2,1,4580.32,127275.1813,6,0,Reject
CL_245780,0,2,0,3909.41,55523.02669,2,0,Reject
CL_556269,0,3,0,2778.56,43709.26264,2,1,Approve
CL_483022,1,2,0,2918.79,37149.27298,3,1,Approve
CL_764716,1,0,0,3702.36,101831.2719,11,1,Approve
CL_926279,1,2,0,2539.86,45478.84797,3,1,Approve
CL_137807,1,0,1,3648.64,47833.66785,4,0,Reject
CL_684953,0,3,0,4733.21,67077.7221,12,0,Reject
CL_310788,1,2,0,3173.5,76310.40197,10,1,Approve
CL_589867,1,3,1,3893.51,98724.43243,7,1,Reject
CL_259429,1,2,1,4474.34,67577.17872,3,1,Approve
CL_195962,1,3,1,2769.6,56376.89042,3,0,Reject
CL_159190,1,1,0,3427.75,45135.16951,2,1,Approve
CL_656877,0,3,0,4969.98,110332.9316,3,1,Approve
CL_838748,1,4,0,3958.63,92573.34813,5,1,Approve
CL_894310,1,1,0,3091.24,67587.6554,3,0,Reject
CL_587708,0,0,0,4113.92,74084.04541,3,1,Approve
CL_3525,0,1,0,2079.43,38062.73915,5,1,Reject
CL_9017,1,1,0,3130.22,86462.80419,4,0,Reject
CL_409766,1,1,0,2037.82,56878.45101,23,1,Approve
CL_411883,0,0,0,4505.7,120645.0913,7,1,Approve
CL_143682,0,1,0,2247.45,62931.45014,8,0,Reject
CL_150711,0,2,0,2927.57,87184.95632,6,0,Reject
CL_317553,1,1,0,2140.18,63103.82678,8,0,Reject
CL_283485,0,0,0,4928.96,88723.77907,8,1,Approve
CL_299766,0,0,0,2793.86,53977.24828,5,1,Approve
CL_655641,1,3,0,4995.97,63648.4255,3,1,Approve
CL_731072,1,1,0,2059.87,61449.73026,12,0,Approve
CL_444091,1,4,0,4879.54,80253.28037,3,0,Reject
CL_64972,1,3,0,2718.84,80209.64249,25,1,Approve
CL_322773,1,3,0,4510.51,98792.08791,9,1,Reject
CL_947536,0,1,0,3596.18,84779.27513,4,1,Approve
CL_608218,1,2,0,4202.82,88305.51098,6,0,Reject
CL_370458,1,3,0,4908.17,120275.4453,7,1,Approve
CL_894143,1,1,0,2888.29,66170.27668,3,1,Approve
CL_787404,0,2,1,3381.13,92022.94972,23,0,Approve
CL_449037,0,1,0,2623.24,64939.06658,4,1,Approve
CL_968438,1,2,1,3332.37,92934.28247,6,0,Approve
CL_355094,0,0,0,4840.78,142174.4091,5,1,Approve
CL_419024,1,2,0,3205.9,69100.69,4,0,Reject
CL_955804,0,1,0,2644.73,57897.99932,6,1,Approve
CL_883874,1,3,0,2477.67,73092.53224,12,0,Reject
CL_991540,1,1,0,2341.87,54765.03391,5,1,Approve
CL_397573,0,2,0,2093.57,30378.74418,2,1,Approve
CL_971029,0,3,0,4871.04,67301.96851,2,1,Approve
CL_226029,0,2,0,4484.49,55981.09699,3,1,Approve
CL_165027,1,2,0,4852.02,109128.4793,6,0,Reject
CL_593958,0,2,0,4065.84,121865.9672,8,0,Reject
CL_442478,1,2,0,4369.07,123538.3192,24,1,Approve
CL_678705,0,4,0,2873.84,50298.85809,3,1,Approve
CL_165256,0,0,0,4953.44,128315.5713,11,1,Approve
CL_863831,0,3,0,4280.04,116903.8286,23,1,Approve
CL_623057,0,1,0,3110.19,40210.35815,5,0,Reject
CL_394127,0,3,0,3515.03,103684.7919,5,1,Approve
CL_53395,0,3,0,2670.47,64791.10596,20,0,Approve
CL_374454,1,1,0,3681.1,99994.06996,6,0,Reject
CL_611599,1,0,0,4719.04,73111.92216,13,1,Approve
CL_137383,0,2,0,2984.66,52791.11017,7,0,Reject
CL_741206,1,1,0,2596.36,78142.33675,13,1,Approve
CL_837444,1,3,1,2347.81,32866.23887,6,1,Approve
CL_497358,0,1,0,2567.05,50781.92967,5,1,Approve
CL_311182,1,3,0,4273.93,56123.98506,2,0,Reject
CL_586012,0,1,0,2573,78539.90506,6,0,Reject
CL_90557,0,3,0,2064.07,45979.75019,3,0,Reject
CL_348320,0,3,0,2410.8,32340.36207,3,0,Reject
CL_702963,0,2,0,2597.86,32528.20994,5,0,Approve
CL_151372,0,2,0,3669.15,69387.71685,16,0,Approve
CL_980522,0,2,0,3847.8,62751.52238,2,0,Reject
CL_784428,0,4,0,4160.46,124651.3032,8,1,Approve
CL_414979,0,3,0,3612.18,49571.49505,3,0,Reject
CL_70301,1,3,0,3276.83,84611.26452,22,0,Reject
CL_913377,0,3,0,2442.96,35472.68715,6,0,Reject
CL_351957,1,1,0,3131.2,38022.61096,5,0,Reject
CL_318131,0,3,0,2495.78,35856.09681,6,1,Approve
CL_91679,1,0,1,3335.26,68510.56745,6,1,Approve
CL_169173,0,1,0,3160.94,55037.94945,7,1,Approve
CL_996921,1,1,0,3937.52,81066.82085,3,1,Approve
CL_650651,0,4,0,4966.37,73307.17828,3,1,Approve
CL_845416,1,1,0,3050.4,61060.5488,6,1,Approve
CL_351064,0,2,0,4844.06,111737.7535,4,1,Approve
CL_855668,1,4,0,2368.34,50420.25317,18,1,Approve
CL_484128,0,0,0,4733.99,122005.0508,21,1,Approve
CL_36449,1,4,0,3458.25,69829.54682,4,1,Approve
CL_763233,1,1,1,2568.45,51996.9256,3,1,Approve
CL_719018,1,4,0,4590.85,110821.7273,7,0,Reject
CL_446976,1,2,0,3330.75,75211.06254,4,0,Reject
CL_713056,0,1,0,2659.1,47877.83426,8,1,Approve
CL_422279,0,2,0,4032.49,99745.9966,21,1,Approve
CL_578332,1,1,0,2923.54,38959.89152,2,1,Approve
CL_65089,1,3,1,4834.73,95294.88706,5,0,Reject
CL_280721,1,0,0,2974.95,48785.88982,14,0,Approve
CL_934569,1,1,0,4361.43,96634.65808,4,0,Reject
CL_403646,1,2,0,2436.81,36642.06787,13,0,Reject
CL_760190,1,3,0,2544.8,50315.27284,5,0,Reject
CL_728089,1,4,1,4460.93,83461.37518,16,0,Reject
CL_237274,1,1,0,2395.35,58607.36643,5,0,Reject
CL_96954,1,4,0,4489,73737.61661,7,0,Approve
CL_423170,0,1,0,2600.96,33272.5669,3,0,Reject
CL_389336,0,3,0,2615.31,37619.73067,2,1,Approve
CL_702974,0,3,0,4209.09,50681.51813,5,1,Approve
CL_570230,0,3,0,4117.79,109867.482,4,1,Approve
CL_634544,0,0,0,2158.19,52920.59427,10,0,Reject
CL_300112,0,2,0,3570.72,56990.91638,7,1,Approve
CL_645185,1,0,0,4243.81,110054.9198,4,0,Reject
