x,y
-118,-4348.684910968592
494,-9996.770168410814
482,-11559.625200103499
-453,-1038.3741342721842
21,-174.13559485471194
136,-1117.0907097664538
-481,-11415.183073761036
-134,-771.5505440947934
-160,-1362.750939232976
452,-10084.688076270428
175,-1478.0872744937187
-194,-1898.1976192983825
335,-4807.434441522184
-71,-335.1821701417397
323,-5496.764783458112
-196,-1959.1404672218187
-145,-1217.7971726573899
-323,-5269.46605985466
445,-12711.89186879794
-440,-10150.340129737593
-191,-2055.938962323631
392,-36118.80916071443
-199,-5180.978907328933
420,-7822.200550085529
94,-429.357331975141
261,-4892.689821530834
-393,-8626.183459265865
247,-3022.749935959577
488,-12004.377978450124
306,-5079.703248241287
-401,-7737.0347844667795
-250,-3188.0590582353925
333,-5506.731159356316
-26,-106.92735561043725
203,1005.1051083681516
441,-9686.178351797094
-117,-783.0022962241518
180,-1536.012014460694
-319,-5086.124442259593
-488,-11986.516188356603
113,-918.0542296226376
-415,-8648.064473673476
-180,-1637.514198080413
149,-1096.7645866370428
210,-2388.9600575223913
-115,-675.997430211568
390,-7499.670419017103
-61,5543.831264537246
-365,-6937.17286833785
67,-213.51312801652537
-202,-2929.547942955767
-340,-5949.264169528447
-232,-2690.2611123183237
158,-1233.2694251187208
496,-24058.463635413696
141,252.39975101419304
406,-1078.0325345014198
305,-4631.210086716586
393,-7569.660009677942
-111,-775.5867609109257
-379,-7682.725653275408
337,-5635.363220739746
-313,-4912.798238881278
-484,-11763.326546969674
273,-3695.2722468206225
-7,92.1623375751006
-159,812.9755491087271
-74,-388.2104091768092
-33,5446.754460169237
-394,-7392.061174570776
-92,-337.2897805680993
-477,-11294.26989771467
331,-5254.992208215746
-431,-12051.599967453489
400,-8046.134438747197
176,-1495.9957654476364
301,-4021.5397673497305
99,2179.5418108225736
143,-415.33127254555757
-161,-10758.805413588274
201,-164.4308187905217
373,-4066.909325630215
-426,-9081.954735839563
-282,-1212.8255931851927
25,336.79190910727493
-235,-1044.857785769525
391,-7609.0282968256915
-390,-10229.945665094036
-65,-214.872782586254
480,-11273.554660709511
132,-855.0601361064554
-315,-5225.0488567130815
-214,-2308.1954853217644
82,-1705.3712246445814
399,-11253.10942548982
-41,-294.5685133164655
-85,-5983.40152719054
-439,-7710.349650070459
-153,-1188.034421296236
-151,-2778.457882117052
231,-2259.424284065172
216,-2335.464420086986
140,-7.469036017033318
304,-4588.189717097422
237,-3106.683295956096
-171,65.80130391404873
427,-9731.270643240277
-366,-6233.087010789118
287,-4086.631906070127
264,-3229.7740959016946
284,-2194.7307804765715
-443,-9046.530039615964
325,-5246.200853540194
428,-8987.324739067417
359,-6447.652772574786
286,-4582.15401150192
-209,-2202.1334874777776
-454,-10341.241374519295
-223,-634.6382443427476
341,-5468.782407416376
426,-9051.688236797181
-276,-5648.106920492508
30,4219.714652724578
-220,-2917.049761828078
-500,-8261.168233335726
317,-5001.024951674781
-5,-567.7061286004098
-434,-8009.052301041201
-97,1396.9066044243
63,-24.46663599085187
-19,-1402.664997849743
71,25.580259802396682
382,-7254.142730315566
-206,-2140.0035230943636
119,-922.8285201894986
243,-3154.868076471363
-255,-2966.5972648339657
-243,-2772.8679465642813
-339,-6768.056975930141
226,-2526.9392093328725
105,-675.4161817060562
453,-9457.526153113582
-64,-106.58565723654897
355,8066.272044721778
268,-13422.926749080269
-253,-3309.7895699747514
41,-468.41971723283814
-261,-2867.5734750221136
-280,282.55677538253167
457,-10333.359188706836
-408,-8413.854679688528
-386,-7442.324039680852
298,-4025.453117460165
479,-11433.024306537913
-424,-9056.90996299612
481,-12438.87751817129
-114,-659.7602980435221
-368,-8666.130872823136
363,-9265.507531812771
490,-11948.8604552303
-442,-9786.107463383005
-211,-2243.619992580563
-254,-3011.552707996666
-136,-948.6174006641902
371,-11852.41105650672
-460,-10630.05971697911
-411,-7043.229091169235
-308,2138.577622754813
-78,-361.65202036378696
-432,1068.5251562703652
161,-23017.865698982096
-128,-207.7354617195017
-361,-6549.049018194836
-112,-1449.9571723793365
332,-5475.049907799908
-382,-5921.130124265387
79,1033.4840380249445
422,-6232.30925765832
291,-4154.590010716569
-150,-106.30975019304014
311,-5999.032794984025
-66,1287.2103600341025
169,-1376.3977082422564
431,-8603.91446439916
448,-8172.112864997355
-486,-10398.01517620897
-125,-610.9782535293905
-418,-8768.506702315988
-9,248.33005745447713
197,-54.34834793483401
379,-6669.922693718681
436,-8650.580489246116
-412,-8523.592120921876
-137,-905.351772628413
-227,-1903.2101092971848
-328,10753.147322123674
54,-140.33623181406946
-397,-7708.0112360410285
254,-2991.97978482015
173,-840.3802448266047
-129,-944.8966155711188
-455,-10652.219553574618
60,450.26664362773147
248,-3014.241570603988
-81,-9518.256870296444
104,-3648.5204033074006
225,-2483.0858860608973
-489,-20745.557466834347
-286,-6007.546056764474
-156,-1230.730691116836
200,-2471.5382705898783
220,-11352.468587122235
-353,-6026.285006307548
-201,-1836.0122027002687
-217,-1590.774179161147
245,-3360.4335654874826
-88,5061.092339522601
129,-4256.178858992134
295,-6177.685333343564
241,-1847.2996818335384
386,-7505.356893891978
235,-3779.8217645830728
-327,-5391.520416151019
-68,359.5296174643328
485,-11720.548096330569
-274,-3940.76944711352
-195,2356.2488966930578
-469,-11104.404306179831
219,-2380.3750592903752
-17,293.8104581837203
266,-3385.237009648786
-215,-2320.3393964930697
418,-8752.884736515107
-18,-466.76468617676136
413,-8439.30347378498
477,-11403.292362305037
-384,-7408.257940428159
118,-137.97423692050336
152,2773.467526693621
204,-2166.3282998416844
-405,-8238.28739145062
-239,-6428.276724055608
135,-768.4516988538174
92,-277.61590822499727
74,-260.5214790391036
454,-11110.55730486488
-398,-7891.309339496974
-438,-9498.049702691742
-296,-6770.40911405974
163,-2250.0258284980696
186,-1616.9426576960323
-316,-5022.7472930930435
178,-1560.0239010666203
233,-2904.393448211743
-409,-8395.602301252142
442,-8903.211985899896
208,-2187.078966313948
236,-2675.326015837287
336,-5692.342984970598
230,-1716.9528649035149
-89,8293.550930391082
-154,-1202.9584880934972
-20,117.92039135804634
314,8759.02040709573
-471,-10986.97324722782
-446,-9996.515476036935
-13,4946.189205459291
-461,-10260.558567986567
-343,-5915.437462107661
394,-11462.760367355899
-354,-6297.728705292177
-279,-3789.8830492581706
184,5404.191102571334
272,-2799.3952905596725
102,-1369.9702653698528
300,-3926.964500439666
-106,-1636.5053008911602
-448,-11568.383653736197
122,860.6315860263967
174,-2219.2048392265515
-141,-1309.2218342214865
4,-14.77052859532085
-98,-437.47540948174924
270,-3615.0053180934483
-79,3882.524668386931
-52,-194.392062747225
-335,-5647.082149035109
-216,-2351.175796160287
-420,-8869.989636289823
-273,-3758.6113523147283
-53,859.8966024488005
-147,-569.7246549248836
-190,-403.1921921768926
227,-2550.7245421012144
-241,-3148.796772459899
-177,-2144.909425757679
-491,-12115.657242472695
179,-1481.553130242464
29,2762.6203476856517
-470,-11419.8867655291
289,-3504.4858615665985
-321,-5213.85708896234
-473,-12050.170012092498
-467,-11551.941731723227
-166,1666.2489502153885
-139,-148.56754487722174
-207,-2475.5236556648515
282,-3991.3549781348834
459,-9060.093237776882
-495,-24489.185459490902
-303,-4543.51255746249
290,-13255.111525559305
-108,-698.4244630369773
43,956.8932236234069
288,-4327.200751608462
131,-460.12394039713854
365,-6672.098013056281
10,4858.52024302829
-378,-5112.389380042507
-122,-6167.401372071477
-462,-6142.739167389065
46,-119.18941660222183
23,5434.485128153004
-338,-5727.59907746139
-433,-5904.211529004226
-376,-13517.332893121147
-496,-11699.269948388372
334,-5544.809156564641
259,-3335.615154933703
-73,-227.81353978675918
466,-10816.147401855986
53,-3351.406974140988
6,-177.40461145681286
475,-11199.004223362139
-101,8884.864594977475
302,-7665.129828728723
-148,-1114.421418084073
339,-5327.247271890223
348,-6027.290448816473
-240,-2899.801460632466
-167,-1409.367980678867
-347,4407.911162044314
-104,-7120.6199535460655
1,3.236374854032412
-127,-886.6099960487027
-188,895.5502261337733
-458,-10948.097767169338
258,-3299.496492173421
22,-16.884263551590763
150,1778.2081063011083
346,-6520.0097041732115
123,-741.2124228952266
182,-3345.1833112699082
134,-887.1943961521702
250,530.6760512996852
255,-3536.3279581754964
280,-3577.5995421224775
90,-604.3550111415798
-55,-95.99621583401702
-228,-2182.0903015849817
377,-7466.537688954552
19,1344.0671638060946
-123,-1250.474483443421
-2,-1356.5931349352343
378,-7098.935175254802
430,-4854.756456105419
447,-9679.392700319302
-403,-8157.667136067806
-372,-8678.239828091817
44,-11135.946970535562
-121,-375.94671912778404
-297,3033.510961094753
-157,-1211.2864085510262
388,-7471.4884564399845
308,-4700.257996350442
18,-5.466450273106199
279,-11369.604782789358
-12,1119.7533089537658
-263,-3776.831761610309
49,-1652.8793797297867
-100,-2737.294535306515
70,-332.29971352775294
-268,-3326.1686259500902
-58,-1732.5827804936278
-402,-8355.728973242309
375,-6715.715122189853
478,-11312.335818006326
11,5.680221808414671
112,-128.84375306777218
-283,-4112.038287445186
-140,-1164.2695629159352
58,-817.9216725759588
419,-10342.22155249854
458,-10349.25521880248
-275,10889.008877460912
-482,-11661.324775085972
-332,4972.130127485362
-208,-2061.659940546762
107,-559.0752414183086
-103,242.50095229969838
40,-149.49110876842718
-172,-1506.8714074332645
362,-6394.946417255188
167,1069.8330360903933
-407,-8580.737017414584
-287,-4345.9202942224665
-163,-8672.406964041254
-75,-285.59764509717075
303,-4560.83732304311
-385,-9706.617188869135
-342,-5879.394723426009
489,-11971.68849257016
-388,-6957.1592643551385
-464,-12203.030591520936
